customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0000,Female,0,Yes,No,51,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.31,4168.99,Yes
CUST-0001,Male,1,Yes,No,14,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),98.83,1437.79,Yes
CUST-0002,Male,1,No,Yes,71,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,65.12,4642.88,Yes
CUST-0003,Female,0,Yes,No,60,Yes,Yes,DSL,No,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,54.6,3294.96,Yes
CUST-0004,Male,1,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),29.14,620.44,No
CUST-0005,Female,0,Yes,Yes,23,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,106.28,2416.1,Yes
CUST-0006,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,96.96,166.13,Yes
CUST-0007,Female,0,No,Yes,21,Yes,No,DSL,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Bank transfer (automatic),35.15,755.63,No
CUST-0008,Female,0,No,No,52,Yes,Yes,No,No,Yes,No,No internet service,No internet service,No,Two year,No,Electronic check,69.73,3723.02,Yes
CUST-0009,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No,Two year,No,Mailed check,67.23,-9.81,No
CUST-0010,Female,1,No,No,29,Yes,No,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),81.07,2249.57,Yes
CUST-0011,Male,0,No,No,37,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,113.34,4180.39,Yes
CUST-0012,Female,0,Yes,No,1,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),76.52,128.06,No
CUST-0013,Female,0,No,No,63,Yes,No,No,No,Yes,No internet service,Yes,No,No,One year,Yes,Electronic check,72.54,4572.59,Yes
CUST-0014,Female,0,Yes,No,59,Yes,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),23.31,1316.82,No
CUST-0015,Male,1,Yes,No,20,Yes,No,DSL,No,No,No,No,No,No internet service,Two year,Yes,Mailed check,24.57,495.35,No
CUST-0016,Female,0,No,No,32,Yes,Yes,DSL,Yes,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,37.08,1099.91,Yes
CUST-0017,Male,0,No,No,57,Yes,No,No,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,21.51,1257.52,Yes
CUST-0018,Female,0,Yes,Yes,21,No,No,No,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.96,1936.7,Yes
